Simulation Start:
###########################
------EPOCH: 1---------
###########################
Herbivore: [w: 0.6891198, s: 1.9625843, p: 3.2451634, d: 0.45417964, eval: 1:905 2:-296 3:-803]
Herbivore: [w: 0.64710015, s: 4.957294, p: 3.8296926, d: 0.20459116, eval: 1:465 2:-345 3:43]
Herbivore: [w: 1.0752594, s: 0.38833678, p: 4.6067305, d: 3.1455982, eval: 1:328 2:329 3:665]
Herbivore: [w: 3.9975636, s: 1.3952476, p: 2.7476196, d: 1.4007145, eval: 1:921 2:561 3:496]
Herbivore: [w: 1.6895387, s: 4.805515, p: 0.89922905, d: 3.4996014, eval: 1:784 2:-219 3:-472]
Herbivore: [w: 3.8433702, s: 1.6639447, p: 1.4551061, d: 4.8244247, eval: 1:947 2:776 3:-645]
Herbivore: [w: 3.7950501, s: 2.5925655, p: 1.8436676, d: 0.30542612, eval: 1:-671 2:-849 3:-269]
Herbivore: [w: 4.6926775, s: 0.20350754, p: 1.9202489, d: 3.7372093, eval: 1:-936 2:210 3:968]
Herbivore: [w: 2.686927, s: 2.8173697, p: 3.1890273, d: 1.7844671, eval: 1:-854 2:-562 3:882]
Herbivore: [w: 2.3131194, s: 0.06655991, p: 2.8989835, d: 1.7862779, eval: 1:148 2:-489 3:-818]
Herbivore: [w: 3.3239896, s: 3.7382996, p: 2.6323981, d: 2.6361246, eval: 1:560 2:-596 3:-183]
Carnivore: [w: 0.73559517, s: 0.2189362, p: 4.809242, d: 3.7134461, eval: 1:-505 2:-690 3:-134]
Carnivore: [w: 2.349388, s: 3.5668957, p: 4.9035654, d: 2.6561499, eval: 1:656 2:295 3:678]
Carnivore: [w: 1.4816403, s: 2.091887, p: 1.3916689, d: 2.9187007, eval: 1:608 2:848 3:-745]
Carnivore: [w: 3.9180183, s: 0.88046074, p: 1.1055225, d: 3.0669708, eval: 1:593 2:818 3:30]
Carnivore: [w: 2.138886, s: 0.10323346, p: 4.0008516, d: 0.29283226, eval: 1:480 2:898 3:-44]
Carnivore: [w: 0.5184792, s: 4.167452, p: 2.0533605, d: 1.2781131, eval: 1:-556 2:-528 3:-678]
Carnivore: [w: 0.49664927, s: 3.0974722, p: 2.2252874, d: 1.8592721, eval: 1:912 2:-506 3:-289]
