Simulation Start:
###########################
------EPOCH: 1---------
###########################
Herbivore: [w: 1.9315926, s: 8.0319, p: 3.1945276, d: 2.4881303, eval: 1:-304 2:808 3:-246]
Herbivore: [w: 2.8210764, s: 5.227727, p: 4.5665765, d: 0.3165412, eval: 1:-162 2:939 3:-746]
Herbivore: [w: 5.115359, s: 5.358285, p: 1.5584469, d: 0.77957153, eval: 1:496 2:172 3:-4]
Herbivore: [w: 6.0895767, s: 3.8036895, p: 9.174694, d: 6.638571, eval: 1:92 2:632 3:1]
Herbivore: [w: 3.1521192, s: 4.7062254, p: 4.513296, d: 6.8161116, eval: 1:-916 2:-620 3:-545]
Herbivore: [w: 2.5868936, s: 8.584071, p: 6.367856, d: 6.8917503, eval: 1:371 2:742 3:-587]
Herbivore: [w: 1.5660769, s: 9.71957, p: 5.7990575, d: 1.3141, eval: 1:934 2:117 3:843]
Herbivore: [w: 0.6717886, s: 5.468856, p: 7.8411627, d: 1.0178542, eval: 1:-716 2:-799 3:111]
Herbivore: [w: 3.0901613, s: 0.4697168, p: 1.1617804, d: 5.107355, eval: 1:-975 2:-367 3:200]
Herbivore: [w: 5.7122993, s: 8.934265, p: 9.985703, d: 7.9265585, eval: 1:-309 2:978 3:-850]
Herbivore: [w: 7.9406753, s: 5.378791, p: 7.498475, d: 6.6637015, eval: 1:477 2:-540 3:-973]
Herbivore: [w: 1.9563692, s: 5.0352073, p: 2.4618542, d: 8.246378, eval: 1:-281 2:988 3:-839]
Herbivore: [w: 3.60001, s: 9.255848, p: 1.5322042, d: 1.0885346, eval: 1:-81 2:-551 3:642]
Herbivore: [w: 5.704672, s: 6.070614, p: 8.64169, d: 7.414316, eval: 1:-535 2:-648 3:442]
Herbivore: [w: 7.2697024, s: 3.4093583, p: 4.8180065, d: 8.253286, eval: 1:502 2:590 3:713]
Herbivore: [w: 3.8741484, s: 5.8792315, p: 8.121162, d: 2.146716, eval: 1:200 2:-981 3:-354]
Herbivore: [w: 8.147869, s: 1.7488754, p: 9.764234, d: 9.064262, eval: 1:905 2:640 3:169]
Herbivore: [w: 6.087471, s: 2.7472758, p: 4.583237, d: 6.0278788, eval: 1:831 2:-156 3:-326]
Herbivore: [w: 4.132993, s: 7.213043, p: 0.90399384, d: 3.8862681, eval: 1:28 2:96 3:73]
Herbivore: [w: 2.9822571, s: 6.5531588, p: 6.669266, d: 2.3541284, eval: 1:-126 2:-305 3:-73]
Herbivore: [w: 6.5718904, s: 7.496682, p: 8.345591, d: 3.3363736, eval: 1:-14 2:458 3:-772]
Herbivore: [w: 1.7800609, s: 9.895254, p: 7.6313186, d: 4.915905, eval: 1:297 2:915 3:-585]
Herbivore: [w: 1.0065986, s: 3.206756, p: 3.9294755, d: 4.1017666, eval: 1:99 2:-155 3:-649]
Herbivore: [w: 1.1706378, s: 8.232885, p: 6.6291213, d: 3.4659672, eval: 1:-662 2:-441 3:-904]
Herbivore: [w: 4.788888, s: 0.93299866, p: 5.9470963, d: 2.6321876, eval: 1:-6 2:-907 3:697]
Herbivore: [w: 5.625807, s: 2.9824913, p: 7.322546, d: 6.0560274, eval: 1:129 2:-739 3:-659]
Carnivore: [w: 0.15633905, s: 4.5175147, p: 2.7133942, d: 4.688649, eval: 1:302 2:131 3:-625]
Carnivore: [w: 5.280354, s: 3.343842, p: 5.236821, d: 3.7257361, eval: 1:540 2:77 3:131]
Carnivore: [w: 1.3117616, s: 8.604011, p: 9.656601, d: 4.4831142, eval: 1:-72 2:-601 3:-636]
Carnivore: [w: 6.510584, s: 2.8214395, p: 2.6488674, d: 1.4036751, eval: 1:-385 2:-445 3:235]
Carnivore: [w: 0.38127628, s: 8.23748, p: 8.980539, d: 1.912117, eval: 1:787 2:-196 3:-410]
Carnivore: [w: 2.7457447, s: 5.642035, p: 6.8102455, d: 9.882565, eval: 1:-197 2:336 3:-884]
Carnivore: [w: 2.1482472, s: 5.88935, p: 8.56482, d: 4.0462646, eval: 1:426 2:-37 3:-497]
Carnivore: [w: 1.9279612, s: 3.2519078, p: 4.3024874, d: 2.2076237, eval: 1:849 2:859 3:-894]
