Simulation Start:
###########################
------EPOCH: 1---------
###########################
Herbivore: [w: 1.1407225, s: 1.4303452, p: 0.7291794, d: 0.79760015, eval: 1:-775 2:711 3:-639]
Herbivore: [w: 0.3237271, s: 4.5986433, p: 1.8630022, d: 2.326117, eval: 1:50 2:-922 3:-31]
Herbivore: [w: 0.3374587, s: 3.4667099, p: 3.3724875, d: 2.4041348, eval: 1:282 2:-1 3:-392]
Herbivore: [w: 4.387221, s: 3.8733125, p: 4.2380576, d: 1.6236085, eval: 1:-994 2:90 3:144]
Herbivore: [w: 1.1863018, s: 4.130988, p: 0.4259318, d: 0.43170452, eval: 1:-177 2:-273 3:181]
Herbivore: [w: 4.3082795, s: 3.6342578, p: 3.3784251, d: 2.4987185, eval: 1:-274 2:929 3:-725]
Herbivore: [w: 1.2123444, s: 3.8862019, p: 2.468791, d: 4.0595956, eval: 1:-118 2:-943 3:739]
Herbivore: [w: 4.0223603, s: 4.2129927, p: 4.9551764, d: 0.8865303, eval: 1:-277 2:602 3:156]
Herbivore: [w: 3.021942, s: 3.9947772, p: 4.3541813, d: 3.3063297, eval: 1:-351 2:-504 3:501]
Herbivore: [w: 1.7126755, s: 0.91234803, p: 1.5294045, d: 4.619234, eval: 1:-673 2:935 3:860]
Herbivore: [w: 0.96114826, s: 3.4266691, p: 3.3139384, d: 1.7126709, eval: 1:605 2:-762 3:-956]
Herbivore: [w: 2.0540507, s: 3.577127, p: 1.4653081, d: 1.139614, eval: 1:-317 2:-943 3:503]
Herbivore: [w: 1.0462332, s: 2.2117221, p: 0.19688308, d: 3.219688, eval: 1:173 2:-566 3:-219]
Herbivore: [w: 3.6787488, s: 0.1969707, p: 0.8595103, d: 2.3918319, eval: 1:-309 2:-561 3:450]
Herbivore: [w: 4.4757566, s: 2.840035, p: 0.6174147, d: 2.964365, eval: 1:-664 2:856 3:-15]
Herbivore: [w: 2.3423555, s: 3.1999207, p: 2.7468972, d: 4.6654453, eval: 1:4 2:-86 3:-309]
Herbivore: [w: 4.4211516, s: 1.6659248, p: 1.519624, d: 3.472687, eval: 1:-240 2:-3 3:565]
Herbivore: [w: 2.0175836, s: 2.354588, p: 1.2666214, d: 4.3719025, eval: 1:-997 2:709 3:-789]
Herbivore: [w: 0.2706435, s: 2.1579747, p: 2.0383449, d: 0.85914254, eval: 1:917 2:721 3:543]
Herbivore: [w: 2.2632504, s: 3.6616964, p: 4.130251, d: 4.352894, eval: 1:-372 2:972 3:823]
Herbivore: [w: 1.3716261, s: 2.1091967, p: 3.3192396, d: 0.4439348, eval: 1:-590 2:-503 3:549]
Herbivore: [w: 3.7333798, s: 3.4921682, p: 3.3689456, d: 0.51944137, eval: 1:84 2:447 3:-990]
Herbivore: [w: 0.89788514, s: 0.6227225, p: 2.1371365, d: 0.20598173, eval: 1:497 2:-429 3:-576]
